,2022,2023,2024
306,TNDM UQ Equity,ALGM UW Equity,DHI UN Equity
307,IART UW Equity,PACW UW Equity,DTE UN Equity
308,UA UN Equity,GNTX UW Equity,GPC UN Equity
309,LRCX UW Equity,TDC UN Equity,POST UN Equity
310,HE UN Equity,DHI UN Equity,SEB UA Equity
311,THG UN Equity,DTE UN Equity,EL UN Equity
312,ALGM UW Equity,GPC UN Equity,LEN/B UN Equity
313,PACW UW Equity,POST UN Equity,HUBS UN Equity
314,GNTX UW Equity,SEB UA Equity,DNB UN Equity
315,TDC UN Equity,EL UN Equity,JPM UN Equity
316,DHI UN Equity,LEN/B UN Equity,PCOR UN Equity
317,DTE UN Equity,HUBS UN Equity,WBD UW Equity
318,GPC UN Equity,DNB UN Equity,MEDP UW Equity
319,POST UN Equity,JPM UN Equity,CPRI UN Equity
320,SEB UA Equity,PCOR UN Equity,ELV UN Equity
321,EL UN Equity,SGEN UW Equity,MCHP UW Equity
322,LEN/B UN Equity,WBD UW Equity,RRC UN Equity
323,HUBS UN Equity,CPRI UN Equity,TSN UN Equity
324,DNB UN Equity,ELV UN Equity,SEE UN Equity
325,JPM UN Equity,MCHP UW Equity,AXTA UN Equity
326,PCOR UN Equity,RRC UN Equity,OKE UN Equity
327,SGEN UW Equity,TSN UN Equity,GPK UN Equity
328,Y UN Equity,SEE UN Equity,AMT UN Equity
329,CPRI UN Equity,AXTA UN Equity,LLYVA UW Equity
330,ELV UN Equity,OKE UN Equity,MP UN Equity
331,MCHP UW Equity,BKI UN Equity,ADSK UW Equity
332,TSN UN Equity,GPK UN Equity,SAIA UW Equity
333,SEE UN Equity,AMT UN Equity,UWMC UN Equity
334,AXTA UN Equity,MP UN Equity,CHE UN Equity
335,OKE UN Equity,ADSK UW Equity,AES UN Equity
336,BKI UN Equity,UWMC UN Equity,NWSA UW Equity
337,GPK UN Equity,CHE UN Equity,RHI UN Equity
338,AMT UN Equity,AES UN Equity,AA UN Equity
339,ADSK UW Equity,NWSA UW Equity,AME UN Equity
340,UWMC UN Equity,RHI UN Equity,C UN Equity
341,CHE UN Equity,AA UN Equity,HUM UN Equity
342,AES UN Equity,AME UN Equity,RARE UW Equity
343,NWSA UW Equity,C UN Equity,TEAM UW Equity
344,RHI UN Equity,HUM UN Equity,WM UN Equity
345,AA UN Equity,RARE UW Equity,ABBV UN Equity
346,AME UN Equity,TEAM UW Equity,GMED UN Equity
347,C UN Equity,WM UN Equity,TOL UN Equity
348,HUM UN Equity,ABBV UN Equity,EFX UN Equity
349,RARE UW Equity,GMED UN Equity,ROL UN Equity
350,TEAM UW Equity,TOL UN Equity,EG UN Equity
351,WM UN Equity,EFX UN Equity,DPZ UN Equity
352,ABBV UN Equity,QGEN UN Equity,QCOM UW Equity
353,GMED UN Equity,ROL UN Equity,ADM UN Equity
354,TOL UN Equity,EG UN Equity,CE UN Equity
355,EFX UN Equity,DPZ UN Equity,NLOP UN Equity
356,QGEN UN Equity,QCOM UW Equity,IEX UN Equity
357,ROL UN Equity,ADM UN Equity,INVH UN Equity
